name,value,year,lastValue,rank
传统体育、游艺与杂技,78113.8,2012.2,77976.4,2
传统体育、游艺与杂技,77976.4,2012.1,77839,2
传统体育、游艺与杂技,77890.9,2015.1,78423,3
传统体育、游艺与杂技,77839,2012,77241.2,1
民间文学,77837.8,2016.7,77117.4,3
曲艺,77825.2,2012.7,77497.6,4
曲艺,77497.6,2012.6,77170,4
曲艺,77495.2,2013.2,78151.6,4
传统体育、游艺与杂技,77358.8,2015.2,77890.9,3
传统体育、游艺与杂技,77241.2,2011.9,76643.4,1
曲艺,77170,2012.5,76842.4,4
民间文学,77117.4,2016.6,76397,3
曲艺,76842.4,2012.4,76514.8,4
曲艺,76838.8,2013.3,77495.2,4
传统体育、游艺与杂技,76826.7,2015.3,77358.8,3
传统舞蹈,76795.5,2012.3,74439,3
传统体育、游艺与杂技,76643.4,2011.8,76045.6,1
民俗,76568,2012,72260.4,2
曲艺,76514.8,2012.3,76187.2,4
民间文学,76397,2016.5,75676.6,3
传统体育、游艺与杂技,76294.6,2015.4,76826.7,3
曲艺,76187.2,2012.2,75859.6,3
曲艺,76182.4,2013.4,76838.8,4
传统体育、游艺与杂技,76045.6,2011.7,75447.8,1
曲艺,75859.6,2012.1,75532,3
传统体育、游艺与杂技,75762.5,2015.5,76294.6,3
民间文学,75676.6,2016.4,74956.2,3
传统戏剧,75586.4,2017.3,71989.6,4
曲艺,75532,2012,74969.3,3
曲艺,75526,2013.5,76182.4,4
传统体育、游艺与杂技,75447.8,2011.6,74850,1
传统体育、游艺与杂技,75230.4,2015.6,75762.5,3
曲艺,74969.3,2011.9,74406.6,2
民间文学,74956.2,2016.3,74235.8,3
曲艺,74869.6,2013.6,75526,4
传统体育、游艺与杂技,74850,2011.5,74252.2,1
传统体育、游艺与杂技,74698.3,2015.7,75230.4,3
传统舞蹈,74439,2012.2,72082.5,4
曲艺,74406.6,2011.8,73843.9,2
传统体育、游艺与杂技,74252.2,2011.4,73654.4,1
民间文学,74235.8,2016.2,73515.4,3
曲艺,74213.2,2013.7,74869.6,4
传统体育、游艺与杂技,74166.2,2015.8,74698.3,3
曲艺,73843.9,2011.7,73281.2,2
传统体育、游艺与杂技,73654.4,2011.3,73056.6,1
传统体育、游艺与杂技,73634.1,2015.9,74166.2,3
曲艺,73556.8,2013.8,74213.2,4
民间文学,73515.4,2016.1,72795,3
曲艺,73281.2,2011.6,72718.5,2
传统体育、游艺与杂技,73102,2016,73634.1,3
传统体育、游艺与杂技,73056.6,2011.2,72458.8,1
曲艺,72900.4,2013.9,73556.8,4
民间文学,72795,2016,72282.5,4
传统体育、游艺与杂技,72765.1,2016.1,73102,4
曲艺,72718.5,2011.5,72155.8,2
传统体育、游艺与杂技,72537,2000,72537,1
传统体育、游艺与杂技,72458.8,2011.1,71861,1
传统体育、游艺与杂技,72428.2,2016.2,72765.1,4
民间文学,72282.5,2015.9,71770,4
民俗,72260.4,2011.9,67952.8,3
曲艺,72244,2014,72900.4,4
传统体育、游艺与杂技,72177.8,2000.1,72537,1
曲艺,72155.8,2011.4,71593.1,2
传统体育、游艺与杂技,72091.3,2016.3,72428.2,4
传统舞蹈,72082.5,2012.1,69726,4
传统戏剧,71989.6,2017.2,68392.8,4
传统体育、游艺与杂技,71861,2011,71720.1,1
传统体育、游艺与杂技,71818.6,2000.2,72177.8,1
民间文学,71770,2015.8,71257.5,4
传统体育、游艺与杂技,71754.4,2016.4,72091.3,4
传统体育、游艺与杂技,71720.1,2010.9,71579.2,1
曲艺,71593.1,2011.3,71030.4,2
传统体育、游艺与杂技,71579.2,2010.8,71438.3,1
曲艺,71529.1,2014.1,72244,4
传统体育、游艺与杂技,71459.4,2000.3,71818.6,1
传统体育、游艺与杂技,71438.3,2010.7,71297.4,1
传统体育、游艺与杂技,71417.5,2016.5,71754.4,4
传统体育、游艺与杂技,71297.4,2010.6,71156.5,1
民间文学,71257.5,2015.7,70745,4
传统体育、游艺与杂技,71156.5,2010.5,71015.6,1
传统体育、游艺与杂技,71100.2,2000.4,71459.4,1
传统体育、游艺与杂技,71080.6,2016.6,71417.5,4
曲艺,71030.4,2011.2,70467.7,2
传统体育、游艺与杂技,71015.6,2010.4,70874.7,1
传统体育、游艺与杂技,70874.7,2010.3,70733.8,1
曲艺,70814.2,2014.2,71529.1,4
民间文学,70745,2015.6,70232.5,4
传统体育、游艺与杂技,70743.7,2016.7,71080.6,4
传统体育、游艺与杂技,70741,2000.5,71100.2,1
传统体育、游艺与杂技,70733.8,2010.2,70592.9,1
传统体育、游艺与杂技,70592.9,2010.1,70452,1
曲艺,70467.7,2011.1,69905,2
传统体育、游艺与杂技,70453,2003,70371.4,1
传统体育、游艺与杂技,70452,2010,70280.2,1
传统体育、游艺与杂技,70406.8,2016.8,70743.7,4
传统体育、游艺与杂技,70381.8,2000.6,70741,1
传统体育、游艺与杂技,70371.4,2002.9,70289.8,1
传统体育、游艺与杂技,70289.8,2002.8,70208.2,1
传统体育、游艺与杂技,70280.2,2009.9,70108.4,1
民间文学,70232.5,2015.5,69720,4
传统体育、游艺与杂技,70208.2,2002.7,70126.6,1
民间文学,70196,2000,70196,2
传统体育、游艺与杂技,70147.1,2003.1,70453,1
传统体育、游艺与杂技,70126.6,2002.6,70045,1
传统体育、游艺与杂技,70108.4,2009.8,69936.6,1
曲艺,70099.3,2014.3,70814.2,4
传统体育、游艺与杂技,70069.9,2016.9,70406.8,4
传统体育、游艺与杂技,70045,2002.5,69963.4,1
传统体育、游艺与杂技,70022.6,2000.7,70381.8,1
传统体育、游艺与杂技,69963.4,2002.4,69881.8,1
传统体育、游艺与杂技,69936.6,2009.7,69764.8,1
曲艺,69905,2011,69387.2,2
传统体育、游艺与杂技,69881.8,2002.3,69800.2,1
传统体育、游艺与杂技,69841.2,2003.2,70147.1,1
传统体育、游艺与杂技,69800.2,2002.2,69718.6,1
传统体育、游艺与杂技,69764.8,2009.6,69593,1
传统体育、游艺与杂技,69733,2017,70069.9,4
传统舞蹈,69726,2012,68285.1,4
民间文学,69720,2015.4,69207.5,4
传统体育、游艺与杂技,69718.6,2002.1,69637,1
民间文学,69683.2,2000.1,70196,2
传统体育、游艺与杂技,69663.4,2000.8,70022.6,1
传统体育、游艺与杂技,69637,2002,69567.8,1
传统体育、游艺与杂技,69593,2009.5,69421.2,1
传统体育、游艺与杂技,69567.8,2001.9,69498.6,1
传统体育、游艺与杂技,69535.3,2003.3,69841.2,1
传统体育、游艺与杂技,69498.6,2001.8,69429.4,1
传统体育、游艺与杂技,69429.4,2001.7,69360.2,1
传统体育、游艺与杂技,69421.2,2009.4,69249.4,1
传统体育、游艺与杂技,69393.8,2017.1,69733,4
曲艺,69387.2,2010.9,68869.4,2
曲艺,69384.4,2014.4,70099.3,4
传统体育、游艺与杂技,69360.2,2001.6,69291,1
传统体育、游艺与杂技,69304.2,2000.9,69663.4,1
传统体育、游艺与杂技,69291,2001.5,69221.8,1
传统体育、游艺与杂技,69249.4,2009.3,69077.6,1
传统体育、游艺与杂技,69229.4,2003.4,69535.3,1
传统体育、游艺与杂技,69221.8,2001.4,69152.6,1
民间文学,69207.5,2015.3,68695,4
民间文学,69170.4,2000.2,69683.2,2
传统体育、游艺与杂技,69152.6,2001.3,69083.4,1
传统体育、游艺与杂技,69083.4,2001.2,69014.2,1
传统体育、游艺与杂技,69077.6,2009.2,68905.8,1
传统体育、游艺与杂技,69054.6,2017.2,69393.8,5
传统体育、游艺与杂技,69014.2,2001.1,68945,1
传统体育、游艺与杂技,68945,2001,69304.2,1
传统体育、游艺与杂技,68923.5,2003.5,69229.4,1
传统体育、游艺与杂技,68905.8,2009.1,68734,1
曲艺,68869.4,2010.8,68351.6,2
传统体育、游艺与杂技,68734,2009,68527.3,1
传统体育、游艺与杂技,68715.4,2017.3,69054.6,5
民间文学,68695,2015.2,68182.5,4
曲艺,68669.5,2014.5,69384.4,4
民间文学,68657.6,2000.3,69170.4,2
传统体育、游艺与杂技,68617.6,2003.6,68923.5,1
传统体育、游艺与杂技,68527.3,2008.9,68320.6,1
传统戏剧,68392.8,2017.1,64796,5
传统体育、游艺与杂技,68376.2,2017.4,68715.4,5
曲艺,68351.6,2010.7,67833.8,2
传统体育、游艺与杂技,68320.6,2008.8,68113.9,1
传统体育、游艺与杂技,68311.7,2003.7,68617.6,1
传统舞蹈,68285.1,2011.9,66844.2,4
民间文学,68182.5,2015.1,67670,4
民间文学,68144.8,2000.4,68657.6,2
传统体育、游艺与杂技,68113.9,2008.7,67907.2,1
传统体育、游艺与杂技,68037,2017.5,68376.2,5
传统体育、游艺与杂技,68005.8,2003.8,68311.7,1
曲艺,67954.6,2014.6,68669.5,4
民俗,67952.8,2011.8,63645.2,3
传统体育、游艺与杂技,67907.2,2008.6,67700.5,1
曲艺,67833.8,2010.6,67316,2
传统体育、游艺与杂技,67700.5,2008.5,67493.8,1
传统体育、游艺与杂技,67699.9,2003.9,68005.8,1
传统体育、游艺与杂技,67697.8,2017.6,68037,5
民间文学,67670,2015,67018.4,4
民间文学,67632,2000.5,68144.8,2
传统体育、游艺与杂技,67525,2005,67511.9,1
传统体育、游艺与杂技,67511.9,2004.9,67498.8,1
传统体育、游艺与杂技,67498.8,2004.8,67485.7,1
传统体育、游艺与杂技,67493.8,2008.4,67287.1,1
传统体育、游艺与杂技,67485.7,2004.7,67472.6,1
传统体育、游艺与杂技,67472.6,2004.6,67459.5,1
传统体育、游艺与杂技,67472.5,2005.1,67525,1
传统体育、游艺与杂技,67459.5,2004.5,67446.4,1
传统体育、游艺与杂技,67446.4,2004.4,67433.3,1
传统体育、游艺与杂技,67433.3,2004.3,67420.2,1
传统体育、游艺与杂技,67420.2,2004.2,67407.1,1
传统体育、游艺与杂技,67420,2005.2,67472.5,1
传统体育、游艺与杂技,67407.1,2004.1,67394,1
传统体育、游艺与杂技,67394,2004,67699.9,1
传统体育、游艺与杂技,67367.5,2005.3,67420,1
传统体育、游艺与杂技,67358.6,2017.7,67697.8,5
曲艺,67316,2010.5,66798.2,2
传统体育、游艺与杂技,67315,2005.4,67367.5,1
传统体育、游艺与杂技,67287.1,2008.3,67080.4,1
传统体育、游艺与杂技,67262.5,2005.5,67315,1
曲艺,67239.7,2014.7,67954.6,4
传统体育、游艺与杂技,67210,2005.6,67262.5,1
传统体育、游艺与杂技,67157.5,2005.7,67210,1
民间文学,67119.2,2000.6,67632,2
传统体育、游艺与杂技,67105,2005.8,67157.5,1
传统体育、游艺与杂技,67080.4,2008.2,66873.7,1
传统体育、游艺与杂技,67052.5,2005.9,67105,1
传统体育、游艺与杂技,67019.4,2017.8,67358.6,5
民间文学,67018.4,2014.9,66366.8,4
传统体育、游艺与杂技,67000,2006,67052.5,1
传统体育、游艺与杂技,66873.7,2008.1,66667,1
传统舞蹈,66844.2,2011.8,65403.3,4
传统体育、游艺与杂技,66832.4,2006.1,67000,1
曲艺,66798.2,2010.4,66280.4,2
传统体育、游艺与杂技,66680.2,2017.9,67019.4,5
传统体育、游艺与杂技,66667,2008,66532.7,1
传统体育、游艺与杂技,66664.8,2006.2,66832.4,1
民间文学,66606.4,2000.7,67119.2,2
传统体育、游艺与杂技,66532.7,2007.9,66398.4,1
曲艺,66524.8,2014.8,67239.7,4
传统体育、游艺与杂技,66497.2,2006.3,66664.8,1
传统体育、游艺与杂技,66398.4,2007.8,66264.1,1
民间文学,66366.8,2014.8,65715.2,5
传统体育、游艺与杂技,66341,2018,66680.2,5
传统体育、游艺与杂技,66329.6,2006.4,66497.2,1
曲艺,66280.4,2010.3,65762.6,2
传统体育、游艺与杂技,66264.1,2007.7,66129.8,1
传统体育、游艺与杂技,66162,2006.5,66329.6,1
传统体育、游艺与杂技,66129.8,2007.6,65995.5,1
民间文学,66093.6,2000.8,66606.4,2
传统体育、游艺与杂技,65995.5,2007.5,65861.2,1
传统体育、游艺与杂技,65994.4,2006.6,66162,1
传统体育、游艺与杂技,65861.2,2007.4,65726.9,1
传统体育、游艺与杂技,65826.8,2006.7,65994.4,1
曲艺,65809.9,2014.9,66524.8,5
曲艺,65762.6,2010.2,65244.8,2
传统体育、游艺与杂技,65726.9,2007.3,65592.6,1
民间文学,65715.2,2014.7,65063.6,5
传统体育、游艺与杂技,65659.2,2006.8,65826.8,1
传统体育、游艺与杂技,65592.6,2007.2,65458.3,1
民间文学,65580.8,2000.9,66093.6,2
传统体育、游艺与杂技,65491.6,2006.9,65659.2,1
传统体育、游艺与杂技,65458.3,2007.1,65324,1
传统舞蹈,65403.3,2011.7,63962.4,3
传统体育、游艺与杂技,65324,2007,65491.6,1
曲艺,65244.8,2010.1,64727,2
民间文学,65174,2003,65065.7,2
曲艺,65095,2015,65809.9,5
民间文学,65068,2001,65580.8,2
民间文学,65065.7,2002.9,64957.4,2
民间文学,65063.6,2014.6,64412,5
民间文学,64970.3,2001.1,65068,2
民间文学,64957.4,2002.8,64849.1,2
民间文学,64872.6,2001.2,64970.3,2
民间文学,64849.1,2002.7,64740.8,2
传统戏剧,64796,2017,63350.2,5
民间文学,64793.8,2003.1,65174,2
民间文学,64774.9,2001.3,64872.6,2
民间文学,64740.8,2002.6,64632.5,2
曲艺,64727,2010,64275.4,2
民间文学,64677.2,2001.4,64774.9,2
民间文学,64632.5,2002.5,64524.2,2
民间文学,64579.5,2001.5,64677.2,2
民间文学,64524.2,2002.4,64415.9,2
民间文学,64481.8,2001.6,64579.5,2
民间文学,64415.9,2002.3,64307.6,2
民间文学,64413.6,2003.2,64793.8,2
民间文学,64412,2014.5,63760.4,5
民间文学,64384.1,2001.7,64481.8,2
民间文学,64307.6,2002.2,64199.3,2
民间文学,64286.4,2001.8,64384.1,2
曲艺,64275.4,2009.9,63823.8,2
民间文学,64199.3,2002.1,64091,2
民间文学,64188.7,2001.9,64286.4,2
民间文学,64091,2002,64188.7,2
民间文学,64033.4,2003.3,64413.6,2
传统舞蹈,63962.4,2011.6,62521.5,3
曲艺,63835.5,2015.1,65095,5
曲艺,63823.8,2009.8,63372.2,2
民间文学,63760.4,2014.4,63108.8,5
民间文学,63653.2,2003.4,64033.4,2
民俗,63645.2,2011.7,59337.6,4
曲艺,63372.2,2009.7,62920.6,2
传统戏剧,63350.2,2016.9,61904.4,5
民间文学,63273,2003.5,63653.2,2
民间文学,63108.8,2014.3,62457.2,5
曲艺,62920.6,2009.6,62469,2
民间文学,62892.8,2003.6,63273,2
曲艺,62576,2015.2,63835.5,5
传统舞蹈,62521.5,2011.5,61080.6,3
民间文学,62512.6,2003.7,62892.8,2
曲艺,62469,2009.5,62017.4,2
民间文学,62457.2,2014.2,61805.6,5
民间文学,62132.4,2003.8,62512.6,2
曲艺,62017.4,2009.4,61565.8,2
传统戏剧,61904.4,2016.8,60458.6,5
民间文学,61805.6,2014.1,61154,5
民间文学,61752.2,2003.9,62132.4,2
曲艺,61565.8,2009.3,61114.2,2
民间文学,61372,2004,61752.2,2
曲艺,61316.5,2015.3,62576,5
民间文学,61228.9,2004.1,61372,2
民间文学,61154,2014,60993.2,5
曲艺,61114.2,2009.2,60662.6,2
民间文学,61085.8,2004.2,61228.9,2
传统舞蹈,61080.6,2011.4,59639.7,3
民间文学,60993.2,2013.9,60832.4,5
民间文学,60942.7,2004.3,61085.8,2
民间文学,60895,2010,60470.2,3
民间文学,60832.4,2013.8,60671.6,5
民间文学,60799.6,2004.4,60942.7,2
民间文学,60714.2,2010.1,60895,3
民间文学,60671.6,2013.7,60510.8,5
曲艺,60662.6,2009.1,60211,2
民间文学,60656.5,2004.5,60799.6,2
民间文学,60533.4,2010.2,60714.2,3
民间文学,60513.4,2004.6,60656.5,2
民间文学,60510.8,2013.6,60350,5
民间文学,60470.2,2009.9,60045.4,3
传统戏剧,60458.6,2016.7,59012.8,5
民间文学,60370.3,2004.7,60513.4,2
民间文学,60352.6,2010.3,60533.4,3
民间文学,60350,2013.5,60189.2,5
民间文学,60227.2,2004.8,60370.3,2
曲艺,60211,2009,60093,2
民间文学,60189.2,2013.4,60028.4,5
民间文学,60171.8,2010.4,60352.6,3
曲艺,60093,2008.9,59975,2
民间文学,60084.1,2004.9,60227.2,2
曲艺,60057,2015.4,61316.5,5
民间文学,60045.4,2009.8,59620.6,3
民间文学,60028.4,2013.3,59867.6,5
民间文学,59991,2010.5,60171.8,3
曲艺,59975,2008.8,59857,2
民间文学,59941,2005,60084.1,2
,,,,
民间文学,59867.6,2013.2,59706.8,5
曲艺,59857,2008.7,59739,2
民间文学,59810.2,2010.6,59991,3
曲艺,59739,2008.6,59621,2
民间文学,59706.8,2013.1,59546,5
传统舞蹈,59639.7,2011.3,58198.8,3
民间文学,59639.5,2005.1,59941,2
民间文学,59629.4,2010.7,59810.2,3
曲艺,59621,2008.5,59503,2
民间文学,59620.6,2009.7,59195.8,3
民间文学,59546,2013,59376.7,5
,,,,
曲艺,59503,2008.4,59385,2
民间文学,59448.6,2010.8,59629.4,3
曲艺,59385,2008.3,59267,2
民间文学,59376.7,2012.9,59207.4,5
民间文学,59338,2005.2,59639.5,2
民俗,59337.6,2011.6,55030,4
民间文学,59267.8,2010.9,59448.6,3
曲艺,59267,2008.2,59149,2
民间文学,59207.4,2012.8,59038.1,5
民间文学,59195.8,2009.6,58771,3
,,,,
曲艺,59149,2008.1,59031,2
民间文学,59087,2011,59267.8,3
民间文学,59038.1,2012.7,58868.8,5
民间文学,59036.5,2005.3,59338,2
曲艺,59031,2008,58836.9,2
传统戏剧,59012.8,2016.6,57567,5
民间文学,59007,2008,58977.2,3
民间文学,58977.2,2007.9,58947.4,2
民间文学,58963.6,2011.1,59087,3
民间文学,58947.4,2007.8,58917.6,2
民间文学,58917.6,2007.7,58887.8,2
民间文学,58887.8,2007.6,58858,2
民间文学,58868.8,2012.6,58699.5,5
民间文学,58858,2007.5,58828.2,2
民间文学,58840.2,2011.2,58963.6,3
曲艺,58836.9,2007.9,58642.8,3
民间文学,58828.2,2007.4,58798.4,2
民间文学,58798.4,2007.3,58768.6,2
,,,,
曲艺,58797.5,2015.5,60057,5
民间文学,58771,2008.1,59007,3
民间文学,58771,2009.5,58346.2,3
民间文学,58768.6,2007.2,58738.8,2
民间文学,58738.8,2007.1,58709,2
民间文学,58735,2005.4,59036.5,2
民间文学,58716.8,2011.3,58840.2,4
民间文学,58709,2007,58530.7,2
民间文学,58699.5,2012.5,58530.2,5
曲艺,58642.8,2007.8,58448.7,3
民间文学,58593.4,2011.4,58716.8,4
民间文学,58535,2008.2,58771,3
民间文学,58530.7,2006.9,58352.4,2
民间文学,58530.2,2012.4,58360.9,5
民间文学,58470,2011.5,58593.4,4
曲艺,58448.7,2007.7,58254.6,3
,,,,
民间文学,58433.5,2005.5,58735,2
民间文学,58360.9,2012.3,58191.6,5
民间文学,58352.4,2006.8,58174.1,2
民间文学,58346.6,2011.6,58470,5
民间文学,58346.2,2009.4,57921.4,3
民间文学,58299,2008.3,58535,3
曲艺,58254.6,2007.6,58060.5,3
民间文学,58223.2,2011.7,58346.6,5
传统舞蹈,58198.8,2011.2,56757.9,4
民间文学,58191.6,2012.2,58022.3,5
民间文学,58174.1,2006.7,57995.8,2
民间文学,58132,2005.6,58433.5,2
民间文学,58099.8,2011.8,58223.2,5
,,,,
民间文学,58063,2008.4,58299,3
曲艺,58060.5,2007.5,57866.4,3
民间文学,58022.3,2012.1,57853,5
民间文学,57995.8,2006.6,57817.5,2
民间文学,57976.4,2011.9,58099.8,5
民间文学,57921.4,2009.3,57496.6,3
曲艺,57866.4,2007.4,57672.3,3
民间文学,57853,2012,57976.4,5
民间文学,57830.5,2005.7,58132,2
民间文学,57827,2008.5,58063,3
民间文学,57817.5,2006.5,57639.2,2
,,,,
曲艺,57672.3,2007.3,57478.2,3
民间文学,57639.2,2006.4,57460.9,2
民间文学,57591,2008.6,57827,3
传统戏剧,57567,2016.5,56121.2,5
曲艺,57538,2015.6,58797.5,5
民间文学,57529,2005.8,57830.5,2
民间文学,57496.6,2009.2,57071.8,3
曲艺,57478.2,2007.2,57284.1,3
民间文学,57460.9,2006.3,57282.6,2
民间文学,57355,2008.7,57591,3
,,,,
曲艺,57284.1,2007.1,57090,3
民间文学,57282.6,2006.2,57104.3,2
